Date,Open Price,High Price,Low Price,Close Price,,EMA_26,EMA_12,,MACD_values,signal_line,Histogram value,,BUY,SELL
12-Jun-23,3210.05,3254.3,3210.05,3248.55,,3276.906994,3240.089976,,-36.81701789,-44.19643785,7.379419957,,FALSE,FALSE
09-Jun-23,3245.05,3249.95,3207,3210.45,,3271.984254,3235.52998,,-36.4542739,-42.64800506,6.193731155,,FALSE,FALSE
08-Jun-23,3269.95,3270,3233.1,3236.15,,3269.329864,3235.625367,,-33.704497,-40.85930345,7.154806445,,FALSE,FALSE
07-Jun-23,3237.05,3278.8,3237.05,3274.6,,3269.720245,3241.621465,,-28.09878009,-38.30719878,10.20841868,,FALSE,FALSE
06-Jun-23,3289,3289,3221.4,3234.15,,3267.085412,3240.472009,,-26.61340325,-35.96843967,9.355036419,,FALSE,FALSE
05-Jun-23,3313,3325.85,3285,3289.6,,3268.753159,3248.030161,,-20.722998,-32.91935134,12.19635334,,FALSE,FALSE
02-Jun-23,3316.2,3336.75,3296.6,3304.4,,3271.393666,3256.702444,,-14.69122183,-29.27372544,14.58250361,,FALSE,FALSE
01-Jun-23,3310,3339.8,3295,3323.3,,3275.238579,3266.948222,,-8.290357624,-25.07705187,16.78669425,,FALSE,FALSE
31-May-23,3314.8,3327.55,3271,3291,,3276.406092,3270.648495,,-5.757596695,-21.21316084,15.45556414,,FALSE,FALSE
30-May-23,3317,3326.3,3302,3314.8,,3279.250085,3277.441035,,-1.809050706,-17.33233881,15.52328811,,FALSE,FALSE
29-May-23,3355,3372.95,3312.85,3319.45,,3282.227857,3283.903952,,1.67609559,-13.53065193,15.20674752,,FALSE,FALSE
26-May-23,3288.05,3339,3288.05,3329,,3285.69246,3290.841806,,5.149345872,-9.79465237,14.94399824,,FALSE,FALSE
25-May-23,3290,3305.65,3267.85,3294.75,,3286.363389,3291.443066,,5.079677622,-6.819786372,11.89946399,,FALSE,FALSE
24-May-23,3268,3317.35,3268,3301.05,,3287.451286,3292.921056,,5.469770273,-4.361875043,9.831645316,,FALSE,FALSE
23-May-23,3308,3328.95,3290.45,3295.7,,3288.062302,3293.348586,,5.286284227,-2.432243189,7.718527416,,FALSE,FALSE
22-May-23,3222.85,3308,3218.15,3297.95,,3288.794724,3294.056496,,5.261771978,-0.893440155,6.155212134,,FALSE,FALSE
19-May-23,3204,3233.95,3202.1,3221.75,,3283.828448,3282.93242,,-0.896028467,-0.893957818,-0.002070649,,FALSE,TRUE
18-May-23,3215.05,3225.85,3196,3199.95,,3277.61523,3270.165894,,-7.449336184,-2.205033491,-5.244302693,,FALSE,FALSE
17-May-23,3251,3272.45,3198.65,3209.1,,3272.540027,3260.771141,,-11.76888683,-4.117804159,-7.651082673,,FALSE,FALSE
16-May-23,3262,3283.9,3250.75,3257,,3271.388914,3260.190965,,-11.19794917,-5.533833162,-5.664116009,,FALSE,FALSE
15-May-23,3280.5,3292.75,3249.15,3253.15,,3270.037884,3259.10774,,-10.93014389,-6.613095307,-4.317048583,,FALSE,FALSE
12-May-23,3281.5,3290,3259.35,3273.75,,3270.312855,3261.360395,,-8.95246005,-7.080968256,-1.871491794,,FALSE,FALSE
11-May-23,3306,3309,3272.5,3281.5,,3271.141533,3264.458796,,-6.682736699,-7.001321945,0.318585245,,TRUE,FALSE
10-May-23,3288,3306.3,3268,3285.95,,3272.238456,3267.765135,,-4.47332112,-6.49572178,2.022400659,,FALSE,FALSE
09-May-23,3247,3298.2,3246.5,3283.9,,3273.102274,3270.247422,,-2.854852263,-5.767547876,2.912695613,,FALSE,FALSE
08-May-23,3230.85,3253,3230.85,3249.95,,3271.387291,3267.124742,,-4.262549287,-5.466548159,1.203998871,,FALSE,FALSE
05-May-23,3220.3,3242.9,3210,3230.85,,3268.384529,3261.544012,,-6.840516479,-5.741341823,-1.099174656,,FALSE,TRUE
04-May-23,3191.95,3224.5,3181,3220.35,,3264.826415,3255.206472,,-9.619943578,-6.517062174,-3.102881405,,FALSE,FALSE
03-May-23,3209.05,3215.75,3174.05,3180.3,,3258.565199,3243.682399,,-14.88280021,-8.190209781,-6.69259043,,FALSE,FALSE
02-May-23,3217,3232.1,3211,3219.2,,3255.649259,3239.915876,,-15.73338247,-9.698844319,-6.034538151,,FALSE,FALSE
